10:42:16.740 [Info      ] -   Comet: AI Server
10:42:16.756 [Info      ] -   Copyright 2022-2024 Felipe Vieira Vendramini "Konichu"
10:42:16.756 [Info      ] -   All Rights Reserved
10:42:16.757 [Info      ] - Initializing server...
10:42:17.524 [Debug     ] - Loading 185 maps...
10:42:17.937 [Debug     ] - Map[001000] MapDoc[1000] Desert Partition: 00 loaded...
10:42:17.997 [Debug     ] - Map[001001] MapDoc[1001] MysticCastle Partition: 01 loaded...
10:42:18.082 [Debug     ] - Map[001002] MapDoc[1002] CentralPlain Partition: 00 loaded...
10:42:18.092 [Debug     ] - Map[001003] MapDoc[1003] MineCave Partition: 01 loaded...
10:42:18.108 [Debug     ] - Map[001004] MapDoc[1004] JobCenter Partition: 00 loaded...
10:42:18.124 [Debug     ] - Map[001005] MapDoc[1005] Arena Partition: 01 loaded...
10:42:18.133 [Debug     ] - Map[001006] MapDoc[1006] Stable Partition: 00 loaded...
10:42:18.144 [Debug     ] - Map[001007] MapDoc[1007] Blachsmith Partition: 01 loaded...
10:42:18.150 [Debug     ] - Map[001008] MapDoc[1008] Grocery Partition: 00 loaded...
10:42:18.158 [Debug     ] - Map[001009] MapDoc[1009] ArmorStore Partition: 01 loaded...
10:42:18.165 [Debug     ] - Map[001010] MapDoc[1010] BirthVillage Partition: 00 loaded...
10:42:18.239 [Debug     ] - Map[001011] MapDoc[1011] Forest Partition: 01 loaded...
10:42:18.294 [Debug     ] - Map[001012] MapDoc[1012] Dreamland Partition: 00 loaded...
10:42:18.303 [Debug     ] - Map[001013] MapDoc[1013] TigerCave Partition: 01 loaded...
10:42:18.315 [Debug     ] - Map[001014] MapDoc[1014] DragonPool Partition: 00 loaded...
10:42:18.434 [Debug     ] - Map[001015] MapDoc[1015] Island Partition: 01 loaded...
10:42:18.442 [Debug     ] - Map[001016] MapDoc[1016] KylinCave Partition: 00 loaded...
10:42:18.459 [Debug     ] - Map[001018] MapDoc[1018] Arena Partition: 01 loaded...
10:42:18.526 [Debug     ] - Map[001020] MapDoc[1020] Canyon Partition: 00 loaded...
10:42:18.533 [Debug     ] - Map[001021] MapDoc[1021] CopperMine Partition: 01 loaded...
